20 X 20 | 14 0.000000
20 X 20 | 15 10.000000
20 X 20 | 16 10.000000
20 X 20 | 17 10.000000
20 X 20 | 18 15.000000
20 X 20 | 19 15.000000
20 X 20 | 20 10.000000
20 X 20 | 21 10.000000
20 X 20 | 22 20.000000
20 X 20 | 23 35.000000
20 X 20 | 24 45.000000
20 X 20 | 25 25.000000
20 X 20 | 26 30.000000
20 X 20 | 27 40.000000
20 X 20 | 28 45.000000
20 X 20 | 29 5.000000
20 X 20 | 30 45.000000
20 X 20 | 31 40.000000
20 X 20 | 32 30.000000
20 X 20 | 33 25.000000
20 X 20 | 34 20.000000
20 X 20 | 35 35.000000
20 X 20 | 36 15.000000
20 X 20 | 37 35.000000
20 X 20 | 38 10.000000
20 X 20 | 39 20.000000
20 X 20 | 40 35.000000
20 X 20 | 41 15.000000
20 X 20 | 42 10.000000
20 X 20 | 43 5.000000
20 X 20 | 44 0.000000
20 X 20 | 45 5.000000
20 X 20 | 46 5.000000
20 X 20 | 47 5.000000
20 X 20 | 48 5.000000
20 X 20 | 49 0.000000
20 X 20 | 50 5.000000
20 X 20 | 51 5.000000
20 X 20 | 52 0.000000
20 X 20 | 53 5.000000
20 X 20 | 54 0.000000
20 X 20 | 55 5.000000
20 X 20 | 56 0.000000
20 X 20 | 57 0.000000
20 X 20 | 58 0.000000
20 X 20 | 59 0.000000
20 X 20 | 60 5.000000
20 X 20 | 61 0.000000
20 X 20 | 62 0.000000
20 X 20 | 63 0.000000
20 X 20 | 64 0.000000
20 X 20 | 65 0.000000
20 X 20 | 66 0.000000
20 X 20 | 67 0.000000
20 X 20 | 68 0.000000
20 X 20 | 69 0.000000
20 X 20 | 70 0.000000
20 X 20 | 71 0.000000
20 X 20 | 72 0.000000
20 X 20 | 73 0.000000
20 X 20 | 74 0.000000
20 X 20 | 75 0.000000
20 X 20 | 76 0.000000
20 X 20 | 77 0.000000
20 X 20 | 78 0.000000
20 X 20 | 79 0.000000
20 X 20 | 80 0.000000
20 X 20 | 81 0.000000
20 X 20 | 82 0.000000
20 X 20 | 83 0.000000
20 X 20 | 84 0.000000
20 X 20 | 85 0.000000
20 X 20 | 86 0.000000
20 X 20 | 87 0.000000
20 X 20 | 88 0.000000
20 X 20 | 89 0.000000
20 X 20 | 90 0.000000
20 X 20 | 91 0.000000
20 X 20 | 92 0.000000
20 X 20 | 93 0.000000
20 X 20 | 94 0.000000
20 X 20 | 95 0.000000
20 X 20 | 96 0.000000
20 X 20 | 97 0.000000
20 X 20 | 98 0.000000
20 X 20 | 99 0.000000
20 X 20 | 100 0.000000
25 X 25 | 1 0.000000
25 X 25 | 2 0.000000
25 X 25 | 3 0.000000
25 X 25 | 4 0.000000
25 X 25 | 5 0.000000
25 X 25 | 6 0.000000
25 X 25 | 7 0.000000
25 X 25 | 8 0.000000
25 X 25 | 9 5.000000
25 X 25 | 10 0.000000
25 X 25 | 11 0.000000
25 X 25 | 12 0.000000
25 X 25 | 13 0.000000
25 X 25 | 14 5.000000
25 X 25 | 15 15.000000
25 X 25 | 16 15.000000
25 X 25 | 17 10.000000
25 X 25 | 18 10.000000
25 X 25 | 19 20.000000
25 X 25 | 20 30.000000
25 X 25 | 21 25.000000
25 X 25 | 22 25.000000
25 X 25 | 23 20.000000
